#N=10000 sum of ti-dists depending on pacement of r on and axis
dist-from-0 ti-dist-sum-3 ti-dist-sum-4 ti-dist-sum-5
3.1400e+001 1.6946e+009 1.5455e+009 1.4071e+009
3.1500e+001 1.6945e+009 1.5454e+009 1.4070e+009
3.1600e+001 1.6944e+009 1.5454e+009 1.4070e+009
3.1700e+001 1.6943e+009 1.5453e+009 1.4069e+009
3.1800e+001 1.6943e+009 1.5452e+009 1.4069e+009
3.1900e+001 1.6942e+009 1.5452e+009 1.4068e+009
3.2000e+001 1.6941e+009 1.5451e+009 1.4068e+009
3.2100e+001 1.6940e+009 1.5450e+009 1.4067e+009
3.2200e+001 1.6939e+009 1.5450e+009 1.4067e+009
3.2300e+001 1.6939e+009 1.5449e+009 1.4066e+009
3.2400e+001 1.6938e+009 1.5449e+009 1.4066e+009
3.2500e+001 1.6937e+009 1.5448e+009 1.4065e+009
3.2600e+001 1.6936e+009 1.5447e+009 1.4065e+009
3.2700e+001 1.6935e+009 1.5447e+009 1.4064e+009
3.2800e+001 1.6935e+009 1.5446e+009 1.4064e+009
3.2900e+001 1.6934e+009 1.5445e+009 1.4063e+009
3.3000e+001 1.6933e+009 1.5445e+009 1.4063e+009
3.3100e+001 1.6932e+009 1.5444e+009 1.4062e+009
3.3200e+001 1.6932e+009 1.5444e+009 1.4062e+009
3.3300e+001 1.6931e+009 1.5443e+009 1.4061e+009
3.3400e+001 1.6930e+009 1.5442e+009 1.4061e+009
3.3500e+001 1.6929e+009 1.5442e+009 1.4060e+009
3.3600e+001 1.6929e+009 1.5441e+009 1.4060e+009
3.3700e+001 1.6928e+009 1.5441e+009 1.4059e+009
3.3800e+001 1.6927e+009 1.5440e+009 1.4059e+009
3.3900e+001 1.6926e+009 1.5439e+009 1.4058e+009
3.4000e+001 1.6926e+009 1.5439e+009 1.4058e+009
3.4100e+001 1.6925e+009 1.5438e+009 1.4057e+009
3.4200e+001 1.6924e+009 1.5438e+009 1.4057e+009
3.4300e+001 1.6924e+009 1.5437e+009 1.4056e+009
3.4400e+001 1.6923e+009 1.5437e+009 1.4056e+009
3.4500e+001 1.6922e+009 1.5436e+009 1.4055e+009
3.4600e+001 1.6922e+009 1.5436e+009 1.4055e+009
3.4700e+001 1.6921e+009 1.5435e+009 1.4055e+009
3.4800e+001 1.6920e+009 1.5434e+009 1.4054e+009
3.4900e+001 1.6919e+009 1.5434e+009 1.4054e+009
3.5000e+001 1.6919e+009 1.5433e+009 1.4053e+009
3.5100e+001 1.6918e+009 1.5433e+009 1.4053e+009
3.5200e+001 1.6917e+009 1.5432e+009 1.4052e+009
3.5300e+001 1.6917e+009 1.5432e+009 1.4052e+009
3.5400e+001 1.6916e+009 1.5431e+009 1.4051e+009
3.5500e+001 1.6915e+009 1.5431e+009 1.4051e+009
3.5600e+001 1.6915e+009 1.5430e+009 1.4051e+009
3.5700e+001 1.6914e+009 1.5430e+009 1.4050e+009
3.5800e+001 1.6913e+009 1.5429e+009 1.4050e+009
3.5900e+001 1.6913e+009 1.5429e+009 1.4049e+009
3.6000e+001 1.6912e+009 1.5428e+009 1.4049e+009
3.6100e+001 1.6912e+009 1.5428e+009 1.4048e+009
3.6200e+001 1.6911e+009 1.5427e+009 1.4048e+009
3.6300e+001 1.6910e+009 1.5427e+009 1.4048e+009
3.6400e+001 1.6910e+009 1.5426e+009 1.4047e+009
3.6500e+001 1.6909e+009 1.5426e+009 1.4047e+009
3.6600e+001 1.6908e+009 1.5425e+009 1.4046e+009
3.6700e+001 1.6908e+009 1.5425e+009 1.4046e+009
3.6800e+001 1.6907e+009 1.5424e+009 1.4046e+009
